"Site","Wetland_Type","Transect","ANPP.g"
"1","Estuarine Herbaceous","1","229"
"1","Estuarine Herbaceous","2","1051"
"1","Estuarine Herbaceous","3","715"
"1","Estuarine Herbaceous","4","876"
"1","Estuarine Herbaceous","5","1219"
"2","Estuarine Herbaceous","1","955"
"2","Estuarine Herbaceous","2","980"
"2","Estuarine Herbaceous","3","730"
"2","Estuarine Herbaceous","4","1197"
"2","Estuarine Herbaceous","5","689"
"3","Palustrine Herbaceous","1","1061"
"3","Palustrine Herbaceous","2","635"
"3","Palustrine Herbaceous","3","708"
"3","Palustrine Herbaceous","4","588"
"3","Palustrine Herbaceous","5","608"
"4","Estuarine Herbaceous","1","874"
"4","Estuarine Herbaceous","2","594"
"4","Estuarine Herbaceous","3","769"
"4","Estuarine Herbaceous","4","215"
"4","Estuarine Herbaceous","5","1098"
"5","Estuarine Herbaceous","1","278"
"5","Estuarine Herbaceous","2","601"
"5","Estuarine Herbaceous","3","939"
"5","Estuarine Herbaceous","4","544"
"5","Estuarine Herbaceous","5","805"
"6","Estuarine Herbaceous","1","1601"
"6","Estuarine Herbaceous","2","381"
"6","Estuarine Herbaceous","3","760"
"6","Estuarine Herbaceous","4","1082"
"6","Estuarine Herbaceous","5","1199"
"7","Estuarine Herbaceous","1","657"
"7","Estuarine Herbaceous","2","412"
"7","Estuarine Herbaceous","3","661"
"7","Estuarine Herbaceous","4","708"
"7","Estuarine Herbaceous","5","1035"
"8","Palustrine Herbaceous","1","1133"
"8","Palustrine Herbaceous","2","495"
"8","Palustrine Herbaceous","3","1387"
"8","Palustrine Herbaceous","4","901"
"8","Palustrine Herbaceous","5","505"
"9","Estuarine Herbaceous","1","208"
"9","Estuarine Herbaceous","2","180"
"9","Estuarine Herbaceous","3","564"
"9","Estuarine Herbaceous","4","531"
"9","Estuarine Herbaceous","5","260"
"10","Estuarine Herbaceous","1","395"
"10","Estuarine Herbaceous","2","227"
"10","Estuarine Herbaceous","3","684"
"10","Estuarine Herbaceous","4","571"
"10","Estuarine Herbaceous","5","171"
"11","Palustrine Herbaceous","1","680"
"11","Palustrine Herbaceous","2","1041"
"11","Palustrine Herbaceous","3","1017"
"11","Palustrine Herbaceous","4","1304"
"11","Palustrine Herbaceous","5","1526"
"12","Palustrine Herbaceous","1","1213"
"12","Palustrine Herbaceous","2","753"
"12","Palustrine Herbaceous","3","608"
"12","Palustrine Herbaceous","4","836"
"12","Palustrine Herbaceous","5","577"
"13","Estuarine Herbaceous","1","1176"
"13","Estuarine Herbaceous","2","553"
"13","Estuarine Herbaceous","3","1001"
"13","Estuarine Herbaceous","4","729"
"13","Estuarine Herbaceous","5","795"
"14","Palustrine Herbaceous","1","776"
"14","Palustrine Herbaceous","2","1399"
"14","Palustrine Herbaceous","3","592"
"14","Palustrine Herbaceous","4","789"
"14","Palustrine Herbaceous","5","627"
"15","Estuarine Herbaceous","1","880"
"15","Estuarine Herbaceous","2","83"
"15","Estuarine Herbaceous","3","1063"
"15","Estuarine Herbaceous","4","962"
"15","Estuarine Herbaceous","5","1057"
"16","Estuarine Herbaceous","1","864"
"16","Estuarine Herbaceous","2","554"
"16","Estuarine Herbaceous","3","1131"
"16","Estuarine Herbaceous","4","411"
"16","Estuarine Herbaceous","5","111"
"17","Estuarine Herbaceous","1","590"
"17","Estuarine Herbaceous","2","629"
"17","Estuarine Herbaceous","3","430"
"17","Estuarine Herbaceous","4","484"
"17","Estuarine Herbaceous","5","584"
"18","Estuarine Herbaceous","1","328"
"18","Estuarine Herbaceous","2","596"
"18","Estuarine Herbaceous","3","110"
"18","Estuarine Herbaceous","4","995"
"18","Estuarine Herbaceous","5","246"
"19","Palustrine Herbaceous","1","1200"
"19","Palustrine Herbaceous","2","146"
"19","Palustrine Herbaceous","3","1225"
"19","Palustrine Herbaceous","4","38"
"19","Palustrine Herbaceous","5","875"
"20","Estuarine Herbaceous","1","782"
"20","Estuarine Herbaceous","2","434"
"20","Estuarine Herbaceous","3","818"
"20","Estuarine Herbaceous","4","1233"
"20","Estuarine Herbaceous","5","608"
"21","Estuarine Herbaceous","1","1577"
"21","Estuarine Herbaceous","2","323"
"21","Estuarine Herbaceous","3","734"
"21","Estuarine Herbaceous","4","1058"
"21","Estuarine Herbaceous","5","806"
"22","Estuarine Herbaceous","1","284"
"22","Estuarine Herbaceous","2","687"
"22","Estuarine Herbaceous","3","298"
"22","Estuarine Herbaceous","4","1315"
"22","Estuarine Herbaceous","5","352"
"23","Estuarine Herbaceous","1","200"
"23","Estuarine Herbaceous","2","1087"
"23","Estuarine Herbaceous","3","1717"
"23","Estuarine Herbaceous","4","888"
"23","Estuarine Herbaceous","5","179"
"24","Estuarine Herbaceous","1","931"
"24","Estuarine Herbaceous","2","1126"
"24","Estuarine Herbaceous","3","669"
"24","Estuarine Herbaceous","4","340"
"24","Estuarine Herbaceous","5","1021"
