"Site","Wetland_Type","Transect","ANPP.g.m.2.y.1"
"BA-01-04","Estuarine Herbaceous",1,33.9716097
"BA-01-04","Estuarine Herbaceous",2,56.42051221
"BA-01-04","Estuarine Herbaceous",3,37.42628096
"BA-01-04","Estuarine Herbaceous",4,NA
"BA-01-04","Estuarine Herbaceous",5,NA
"CRMS0175","Estuarine Herbaceous",1,21.78151279
"CRMS0175","Estuarine Herbaceous",2,40.09711829
"CRMS0175","Estuarine Herbaceous",3,33.81853081
"CRMS0175","Estuarine Herbaceous",4,NA
"CRMS0175","Estuarine Herbaceous",5,NA
"CRMS0211","Palustrine Herbaceous",1,53.74016451
"CRMS0211","Palustrine Herbaceous",2,70.24625088
"CRMS0211","Palustrine Herbaceous",3,61.9031613
"CRMS0211","Palustrine Herbaceous",4,NA
"CRMS0211","Palustrine Herbaceous",5,NA
"CRMS0224","Estuarine Herbaceous",1,44.98885137
"CRMS0224","Estuarine Herbaceous",2,58.54173056
"CRMS0224","Estuarine Herbaceous",3,46.92798625
"CRMS0224","Estuarine Herbaceous",4,NA
"CRMS0224","Estuarine Herbaceous",5,NA
"CRMS0225","Estuarine Herbaceous",1,46.45938598
"CRMS0225","Estuarine Herbaceous",2,32.91564781
"CRMS0225","Estuarine Herbaceous",3,48.20338279
"CRMS0225","Estuarine Herbaceous",4,NA
"CRMS0225","Estuarine Herbaceous",5,NA
"CRMS0237","Estuarine Herbaceous",1,44.32900426
"CRMS0237","Estuarine Herbaceous",2,37.31717509
"CRMS0237","Estuarine Herbaceous",3,39.00487961
"CRMS0237","Estuarine Herbaceous",4,NA
"CRMS0237","Estuarine Herbaceous",5,NA
"CRMS0253","Estuarine Herbaceous",1,41.37831713
"CRMS0253","Estuarine Herbaceous",2,57.61025314
"CRMS0253","Estuarine Herbaceous",3,38.0049596
"CRMS0253","Estuarine Herbaceous",4,NA
"CRMS0253","Estuarine Herbaceous",5,NA
"CRMS0273","Palustrine Herbaceous",1,77.80134803
"CRMS0273","Palustrine Herbaceous",2,81.23715044
"CRMS0273","Palustrine Herbaceous",3,85.40408686
"CRMS0273","Palustrine Herbaceous",4,NA
"CRMS0273","Palustrine Herbaceous",5,NA
"CRMS0305","Estuarine Herbaceous",1,NA
"CRMS0305","Estuarine Herbaceous",2,51.64467793
"CRMS0305","Estuarine Herbaceous",3,34.8273725
"CRMS0305","Estuarine Herbaceous",4,NA
"CRMS0305","Estuarine Herbaceous",5,NA
"CRMS0309","Estuarine Herbaceous",1,NA
"CRMS0309","Estuarine Herbaceous",2,NA
"CRMS0309","Estuarine Herbaceous",3,73.00755788
"CRMS0309","Estuarine Herbaceous",4,NA
"CRMS0309","Estuarine Herbaceous",5,NA
"CRMS0327","Palustrine Herbaceous",1,NA
"CRMS0327","Palustrine Herbaceous",2,54.49010958
"CRMS0327","Palustrine Herbaceous",3,72.41158713
"CRMS0327","Palustrine Herbaceous",4,NA
"CRMS0327","Palustrine Herbaceous",5,NA
"CRMS0331","Palustrine Herbaceous",1,61.20623928
"CRMS0331","Palustrine Herbaceous",2,81.09377488
"CRMS0331","Palustrine Herbaceous",3,72.08820128
"CRMS0331","Palustrine Herbaceous",4,NA
"CRMS0331","Palustrine Herbaceous",5,NA
"CRMS0337","Estuarine Herbaceous",1,54.82100179
"CRMS0337","Estuarine Herbaceous",2,48.06280222
"CRMS0337","Estuarine Herbaceous",3,NA
"CRMS0337","Estuarine Herbaceous",4,NA
"CRMS0337","Estuarine Herbaceous",5,NA
"CRMS0367","Palustrine Herbaceous",1,35.14976333
"CRMS0367","Palustrine Herbaceous",2,41.38543517
"CRMS0367","Palustrine Herbaceous",3,31.22888387
"CRMS0367","Palustrine Herbaceous",4,NA
"CRMS0367","Palustrine Herbaceous",5,NA
"CRMS0377","Estuarine Herbaceous",1,23.18265704
"CRMS0377","Estuarine Herbaceous",2,26.74504481
"CRMS0377","Estuarine Herbaceous",3,40.81657136
"CRMS0377","Estuarine Herbaceous",4,NA
"CRMS0377","Estuarine Herbaceous",5,NA
"CRMS0398","Estuarine Herbaceous",1,45.74196865
"CRMS0398","Estuarine Herbaceous",2,26.34583525
"CRMS0398","Estuarine Herbaceous",3,38.39467283
"CRMS0398","Estuarine Herbaceous",4,NA
"CRMS0398","Estuarine Herbaceous",5,NA
"CRMS0399","Estuarine Herbaceous",1,NA
"CRMS0399","Estuarine Herbaceous",2,NA
"CRMS0399","Estuarine Herbaceous",3,40.0167953
"CRMS0399","Estuarine Herbaceous",4,NA
"CRMS0399","Estuarine Herbaceous",5,NA
"CRMS2825","Estuarine Herbaceous",1,28.0162373
"CRMS2825","Estuarine Herbaceous",2,29.9474606
"CRMS2825","Estuarine Herbaceous",3,18.63417365
"CRMS2825","Estuarine Herbaceous",4,NA
"CRMS2825","Estuarine Herbaceous",5,NA
"CRMS3166","Palustrine Herbaceous",1,14.88621915
"CRMS3166","Palustrine Herbaceous",2,40.8990508
"CRMS3166","Palustrine Herbaceous",3,52.00383969
"CRMS3166","Palustrine Herbaceous",4,NA
"CRMS3166","Palustrine Herbaceous",5,NA
"CRMS3565","Estuarine Herbaceous",1,30.3867516
"CRMS3565","Estuarine Herbaceous",2,44.67991961
"CRMS3565","Estuarine Herbaceous",3,35.00538299
"CRMS3565","Estuarine Herbaceous",4,NA
"CRMS3565","Estuarine Herbaceous",5,NA
"CRMS3617","Estuarine Herbaceous",1,14.61385505
"CRMS3617","Estuarine Herbaceous",2,43.95105585
"CRMS3617","Estuarine Herbaceous",3,26.82049026
"CRMS3617","Estuarine Herbaceous",4,NA
"CRMS3617","Estuarine Herbaceous",5,NA
"CRMS4045","Estuarine Herbaceous",1,36.77673739
"CRMS4045","Estuarine Herbaceous",2,55.4881335
"CRMS4045","Estuarine Herbaceous",3,56.00351972
"CRMS4045","Estuarine Herbaceous",4,NA
"CRMS4045","Estuarine Herbaceous",5,NA
"CRMS4245","Estuarine Herbaceous",1,20.25726963
"CRMS4245","Estuarine Herbaceous",2,29.73911655
"CRMS4245","Estuarine Herbaceous",3,32.01903467
"CRMS4245","Estuarine Herbaceous",4,NA
"CRMS4245","Estuarine Herbaceous",5,NA
"CRMS4455","Estuarine Herbaceous",1,44.87729883
"CRMS4455","Estuarine Herbaceous",2,47.66481603
"CRMS4455","Estuarine Herbaceous",3,51.00391969
"CRMS4455","Estuarine Herbaceous",4,NA
"CRMS4455","Estuarine Herbaceous",5,NA
