"WetlandType","AboveLive.g.m-2","BelowLive.g.m-2","AboveVF.g.m-2","BelowVF.g.m-2","BelowS.g.m-2","ANPP.g.m-2.y-1","BNPP.g.m-2.y-1","AboveMort.g.m-2.y-1","BelowMort.g.m-2.y-1","AVF_Emission.percent","BVF_Emission.percent"
"Estuarine Herbaceous","55.854","44.1019108280255","678.764","8560.31674285714","7889.54385","641.8592","3923.08917197452","753.5672","4194.42675159236","64.825485735","42.60613429"
"Estuarine Herbaceous","23.541","92.1656050955415","129.529","4937.68564285714","6415.777575","188.4264","1691.97452229299","211.8284","2242.92993630573","63.30358952","31.8990539633333"
"Estuarine Herbaceous","250.7462","173.375796178344","375.8322","6044.83401428571","7192.771275","770.57","2382.16560509554","836.3096","2043.31210191083","68.7284540566667","50.15285606"
"Estuarine Herbaceous","46.225","161.104033970276","227.261","6327.43264285714","10113.884625","511.892","1978.34394904458","562.942","2865.28662420382","66.86988637","42.52613886"
"Estuarine Herbaceous","161.774","269.68152866242","299.968","5642.88578571429","5624.0523","519.72","2285.9872611465","643.004","2160.12738853503","59.47582264","40.2170196533333"
"Estuarine Herbaceous","53.419","102.229299363057","358.587","5117.69961428571","18310.68785","628.9864","2598.85350318471","654.5844","2850.19108280255","69.6336370533333","45.6645099566667"
"Estuarine Herbaceous","88.41","137.269639065817","181.878","3660.28825714286","7070.132175","332.3428","4455.89171974522","496.4188","4342.99363057325","70.29455201","43.236025215"
"Estuarine Herbaceous","44.614","361.40127388535","275.916","4909.97091428571","6798.13815","720.958","3914.7770700637","657.962","4310.19108280255","85.58045136","73.00755788"
"Estuarine Herbaceous","74.5702","204.394904458599","185.4118","4724.89594285714","6219.396225","305.9856","1789.17197452229","283.8092","2503.43949044586","68.3107886066667","51.441902005"
"Estuarine Herbaceous","79.495","58.3439490445859","285.619","4768.41741428571","5500.1748","334.9644","2186.36942675159","418.0104","2529.55414012739","54.4408769133333","30.24809107"
"Estuarine Herbaceous","191.99","138.354564755839","276.546","5234.11071428571","8704.9348","673.6176","1287.04883227176","683.7256","2096.8152866242","56.2169427133333","36.8274922433333"
"Estuarine Herbaceous","42.061","237.282377919321","458.415","4718.73488571429","8327.075925","473.9728","2134.8195329087","512.2628","2499.36305732484","72.70241201","40.0167953"
"Estuarine Herbaceous","491.155","16.687898089172","960.181","6479.5347","10206.927675","1406.6864","NaN","1259.0604","NaN","45.0623108366667","25.53262385"
"Estuarine Herbaceous","236.4062","140.08067940552","745.9066","4785.06484285714","9017.698275","771.792","1250","1055.8236","1982.8025477707","85.6160989966667","36.6906847333333"
"Estuarine Herbaceous","113.1096","32.6751592356688","413.8936","6342.14712857143","8215.461675","614.5048","2387.89808917197","607.34","2576.75159235669","79.6717376466667","28.4618003866667"
"Estuarine Herbaceous","40.492","154.7983014862","209.9464","5131.802025","23232.187425","461.931","2000.63694267516","515.932","3031.42250530786","72.3666787666667","49.42279687"
"Estuarine Herbaceous","246.3668","43.4989384288748","338.958","7522.21152857143","18195.0161142857","691.2064","1679.14012738853","639.3488","1878.82165605096","76.3021000633333","27.3384736166667"
"Estuarine Herbaceous","306.928","133.375796178344","375.01","4018.9677","7725.138825","698.8996","3698.34394904459","772.9316","4309.29936305733","75.20763533","47.8486781833333"
